所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型
客户管理,验证进入客户信息管理页面显示是否正确,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户信息管理]","1.成功进入
2.成功进入,页面显示正确",1,功能测试
客户管理,验证正确点击添加页面显示是否正确,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[添加]","1.成功进入
2.成功进入,页面显示正确
3.成功进入,页面显示正确",1,功能测试
客户管理,验证正确输入正确数据添加客户是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[添加]
4.依次输入信息
客户名称:张三
性别:男
年龄:28
联系电话:18088982201
邮箱:123454123@qq.com
QQ:1003765890
微信:18088982201
创建时间:2020-02-09
客户状态:潜在客户
工作:打电话
收入水平:打电话
营销人员:打电话
客户来源:雷宇
5.点击保存","1.成功进入
2.成功进入,页面显示正确
3.成功进入
4.成功输入信息
5.添加成功",1,功能测试
客户管理,验证客户名称为特殊字符%能否添加客户成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[添加]
4.依次输入信息
客户名称:%%
性别:男
年龄:28
联系电话:18088982201
邮箱:123454123@qq.com
QQ:1003765890
微信:18088982201
创建时间:2020-02-09
客户状态:潜在客户
工作:打电话
收入水平:打电话
营销人员:打电话
客户来源:雷宇
5.点击保存","1.成功进入
2.成功进入,页面显示正确
3.成功进入
4.成功输入信息
5.添加失败",1,功能测试
客户管理,验证客户名称为空格能否添加客户成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[添加]
4.依次输入信息
客户名称:空格
性别:男
年龄:28
联系电话:18088982201
邮箱:123454123@qq.com
QQ:1003765890
微信:18088982201
创建时间:2020-02-09
客户状态:潜在客户
工作:打电话
收入水平:打电话
营销人员:打电话
客户来源:雷宇
5.点击保存","1.成功进入
2.成功进入,页面显示正确
3.成功进入
4.成功输入信息
5.添加失败",1,功能测试
客户管理,验证客户名称为空能否添加客户成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[添加]
4.依次输入信息
客户名称:空
性别:男
年龄:28
联系电话:18088982201
邮箱:123454123@qq.com
QQ:1003765890
微信:18088982201
创建时间:2020-02-09
客户状态:潜在客户
工作:打电话
收入水平:打电话
营销人员:打电话
客户来源:雷宇
5.点击保存","1.成功进入
2.成功进入,页面显示正确
3.成功进入
4.成功输入信息
5.添加失败",1,功能测试
客户管理,验证性别单选框选择女能否添加客户成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[添加]
4.依次输入信息
客户名称:小乔
性别:女
年龄:28
联系电话:18088982201
邮箱:123454123@qq.com
QQ:1003765890
微信:18088982201
创建时间:2020-02-09
客户状态:潜在客户
工作:打电话
收入水平:打电话
营销人员:打电话
客户来源:雷宇
5.点击保存","1.成功进入
2.成功进入,页面显示正确
3.成功进入
4.成功输入信息
5.添加成功",1,功能测试
客户管理,验证性别单选框选择未知能否添加客户成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[添加]
4.依次输入信息
客户名称:小乔
性别:未知
年龄:28
联系电话:18088982201
邮箱:123454123@qq.com
QQ:1003765890
微信:18088982201
创建时间:2020-02-09
客户状态:潜在客户
工作:打电话
收入水平:打电话
营销人员:打电话
客户来源:雷宇
5.点击保存","1.成功进入
2.成功进入,页面显示正确
3.成功进入
4.成功输入信息
5.添加失败",1,功能测试
客户管理,验证年龄输入中文能否添加客户成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[添加]
4.依次输入信息
客户名称:小乔
性别:女
年龄:二十岁
联系电话:18088982201
邮箱:123454123@qq.com
QQ:1003765890
微信:18088982201
创建时间:2020-02-09
客户状态:潜在客户
工作:打电话
收入水平:打电话
营销人员:打电话
客户来源:雷宇
5.点击保存","1.成功进入
2.成功进入,页面显示正确
3.成功进入
4.成功输入信息
5.添加失败",1,功能测试
客户管理,验证年龄输入英文能否添加客户成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[添加]
4.依次输入信息
客户名称:小乔
性别:女
年龄:one
联系电话:18088982201
邮箱:123454123@qq.com
QQ:1003765890
微信:18088982201
创建时间:2020-02-09
客户状态:潜在客户
工作:打电话
收入水平:打电话
营销人员:打电话
客户来源:雷宇
5.点击保存","1.成功进入
2.成功进入,页面显示正确
3.成功进入
4.成功输入信息
5.添加失败",1,功能测试
